Date,Ledger,Account,PartNo,Project,Contact,Unit Code,Quantity,Unit Price,D/C,Currency,Exchange Rate,Original Amount,Base Amount
43202,L89,18336,A19,B20,C36,PCS,231,6.84,D,C02,9.912483,1580.04,15662.12
43202,L89,18336,A19,B20,C36,PCS,26,6.84,D,C02,9.912483,177.84,1762.84
43202,L89,18336,A19,B20,C36,PCS,494,6.84,D,C02,9.912483,3378.96,33493.88
43202,L89,18336,A19,B20,C36,PCS,750,6.84,D,C02,9.912483,5130,50851.04
43202,L89,18336,A19,B20,C36,PCS,936,6.84,D,C02,9.912483,6402.24,63462.1
43202,L89,18336,A19,B20,C36,PCS,117,6.84,D,C02,9.912483,800.28,7932.76
43202,L89,18336,A19,B20,C36,PCS,66,6.84,D,C02,9.912483,451.44,4474.89
43202,L89,18336,A19,B20,C36,PCS,308,6.84,D,C02,9.912483,2106.72,20882.83
43203,L89,18357,A18,B26,C40,PCS,146,6,D,C02,9.912483,876,8683.34
43203,L89,18357,A18,B26,C40,PCS,877,6,D,C02,9.912483,5262,52159.49
43203,L89,18357,A18,B26,C40,PCS,692,6,D,C02,9.912483,4152,41156.63
43203,L89,18357,A18,B26,C40,PCS,842,6,D,C02,9.912483,5052,50077.86
43203,L89,18357,A18,B26,C40,PCS,640,6,D,C02,9.912483,3840,38063.93
43203,L89,18357,A18,B26,C40,PCS,682,6,D,C02,9.912483,4092,40561.88
43203,L89,18357,A18,B26,C40,PCS,623,6,D,C02,9.912483,3738,37052.86
43203,L89,18357,A18,B26,C40,PCS,807,6,D,C02,9.912483,4842,47996.24
43203,L89,18357,A18,B26,C40,PCS,411,6,D,C02,9.912483,2466,24444.18
43203,L89,18357,A18,B26,C40,PCS,135,6,D,C02,9.912483,810,8029.11
43201,L89,18469,A14,B23,C40,PCS,220,3.27,D,C06,3.547054,719.4,2551.75
43201,L89,18469,A14,B23,C40,PCS,504,3.27,D,C06,3.547054,1648.08,5845.83
43201,L89,18469,A14,B23,C40,PCS,551,3.27,D,C06,3.547054,1801.77,6390.98
43201,L89,18469,A14,B23,C40,PCS,39,3.27,D,C06,3.547054,127.53,452.36
43201,L89,18469,A14,B23,C40,PCS,128,3.27,D,C06,3.547054,418.56,1484.65
43201,L89,18469,A14,B23,C40,PCS,804,3.27,D,C06,3.547054,2629.08,9325.49
43201,L89,18469,A14,B23,C40,PCS,652,3.27,D,C06,3.547054,2132.04,7562.46
43201,L89,18469,A14,B23,C40,PCS,873,3.27,D,C06,3.547054,2854.71,10125.81
43201,L89,18469,A14,B23,C40,PCS,147,3.27,D,C06,3.547054,480.69,1705.03
43201,L89,18469,A14,B23,C40,PCS,838,3.27,D,C06,3.547054,2740.26,9719.85
43191,L89,18535,A19,B26,C38,PCS,92,9.71,D,C01,6.825646,893.32,6097.49
43191,L89,18535,A19,B26,C38,PCS,834,9.71,D,C01,6.825646,8098.14,55275.04
43191,L89,18535,A19,B26,C38,PCS,292,9.71,D,C01,6.825646,2835.32,19352.89
43191,L89,18535,A19,B26,C38,PCS,177,9.71,D,C01,6.825646,1718.67,11731.03
43191,L89,18535,A19,B26,C38,PCS,819,9.71,D,C01,6.825646,7952.49,54280.88
43191,L89,18535,A19,B26,C38,PCS,786,9.71,D,C01,6.825646,7632.06,52093.74
43191,L89,18535,A19,B26,C38,PCS,508,9.71,D,C01,6.825646,4932.68,33668.73
43191,L89,18535,A19,B26,C38,PCS,954,9.71,D,C01,6.825646,9263.34,63228.28
43191,L89,18535,A19,B26,C38,PCS,359,9.71,D,C01,6.825646,3485.89,23793.45
43191,L89,18535,A19,B26,C38,PCS,170,9.71,D,C01,6.825646,1650.7,11267.09
43203,L89,18572,A18,B24,C30,PCS,632,7.88,C,C04,5.388146,4980.16,26833.83
43203,L89,18572,A18,B24,C30,PCS,670,7.88,C,C04,5.388146,5279.6,28447.26
43203,L89,18572,A18,B24,C30,PCS,865,7.88,C,C04,5.388146,6816.2,36726.68
43203,L89,18572,A18,B24,C30,PCS,504,7.88,C,C04,5.388146,3971.52,21399.13
43203,L89,18572,A18,B24,C30,PCS,9,7.88,C,C04,5.388146,70.92,382.13
43203,L89,18572,A18,B24,C30,PCS,752,7.88,C,C04,5.388146,5925.76,31928.86
43203,L89,18572,A18,B24,C30,PCS,34,7.88,C,C04,5.388146,267.92,1443.59
43203,L89,18572,A18,B24,C30,PCS,428,7.88,C,C04,5.388146,3372.64,18172.28
43203,L89,18572,A18,B24,C30,PCS,331,7.88,C,C04,5.388146,2608.28,14053.79
43203,L89,18572,A18,B24,C30,PCS,706,7.88,C,C04,5.388146,5563.28,29975.76
43208,L89,18828,A12,B22,C33,PCS,683,9.72,D,C01,6.825646,6638.76,45313.83
43208,L89,18828,A12,B22,C33,PCS,348,9.72,D,C01,6.825646,3382.56,23088.16
43208,L89,18828,A12,B22,C33,PCS,419,9.72,D,C01,6.825646,4072.68,27798.67
43208,L89,18828,A12,B22,C33,PCS,444,9.72,D,C01,6.825646,4315.68,29457.3
43208,L89,18828,A12,B22,C33,PCS,957,9.72,D,C01,6.825646,9302.04,63492.43
43208,L89,18828,A12,B22,C33,PCS,857,9.72,D,C01,6.825646,8330.04,56857.9
43208,L89,18828,A12,B22,C33,PCS,785,9.72,D,C01,6.825646,7630.2,52081.04
43208,L89,18828,A12,B22,C33,PCS,581,9.72,D,C01,6.825646,5647.32,38546.61
43208,L89,18828,A12,B22,C33,PCS,198,9.72,D,C01,6.825646,1924.56,13136.37
43208,L89,18828,A12,B22,C33,PCS,5,9.72,D,C01,6.825646,48.6,331.73
43219,L89,18847,A12,B23,C39,PCS,951,1.95,C,C01,6.825646,1854.45,12657.82
43219,L89,18847,A12,B23,C39,PCS,139,1.95,C,C01,6.825646,271.05,1850.09
43219,L89,18847,A12,B23,C39,PCS,381,1.95,C,C01,6.825646,742.95,5071.11
43219,L89,18847,A12,B23,C39,PCS,68,1.95,C,C01,6.825646,132.6,905.08
43219,L89,18847,A12,B23,C39,PCS,587,1.95,C,C01,6.825646,1144.65,7812.98
43219,L89,18847,A12,B23,C39,PCS,818,1.95,C,C01,6.825646,1595.1,10887.59
