Ledger,Account,PartNo,Contact,Project,Unit Code,D/C,Currency,Quantity(Count),Quantity(Max),Quantity(Min),Quantity(Sum)
L17,12469,A19,C38,B28,PCS,D,C07,2,565,261,826
L20,15072,A18,C34,B22,PCS,C,C05,1,15,15,15
L44,10814,A18,C33,B26,PCS,D,C10,3,984,168,1633
L60,13432,A19,C39,B24,PCS,D,C07,1,218,218,218
L71,17626,A20,C35,B25,PCS,D,C01,3,991,84,1990
L88,17153,A20,C40,B25,PCS,D,C08,1,422,422,422
L29,11539,A19,C31,B29,PCS,D,C09,2,393,344,737
L36,14177,A20,C35,B29,PCS,D,C04,2,998,879,1877
L37,14455,A13,C30,B30,PCS,C,C06,2,560,508,1068
L38,18773,A20,C34,B29,PCS,D,C01,3,662,43,885
L88,10101,A12,C30,B24,PCS,D,C06,1,255,255,255
L10,15660,A13,C32,B23,PCS,D,C05,6,927,2,3293
L94,14791,A18,C31,B27,PCS,C,C03,3,883,296,1809
L95,15520,A15,C37,B28,PCS,C,C06,1,814,814,814
L36,19819,A15,C35,B22,PCS,D,C10,1,150,150,150
L44,12459,A10,C39,B27,PCS,D,C06,1,752,752,752
L55,12010,A18,C37,B24,PCS,C,C04,1,495,495,495
L65,17764,A16,C36,B24,PCS,C,C04,1,232,232,232
L70,13620,A18,C39,B23,PCS,D,C01,1,50,50,50
L73,14994,A15,C38,B24,PCS,C,C03,1,422,422,422
L75,19933,A13,C36,B30,PCS,D,C02,1,893,893,893
L79,15796,A12,C34,B24,PCS,C,C03,1,936,936,936
L85,15468,A15,C31,B29,PCS,D,C07,2,813,427,1240
L90,17084,A16,C34,B29,PCS,C,C06,2,581,251,832
L17,14475,A15,C38,B27,PCS,C,C02,1,714,714,714
L97,15683,A15,C32,B23,PCS,D,C05,4,925,281,2666
L31,15812,A19,C40,B22,PCS,D,C02,1,564,564,564
L40,11629,A14,C36,B28,PCS,D,C03,1,687,687,687
L52,12438,A19,C37,B25,PCS,C,C09,2,672,233,905
L66,12469,A19,C31,B28,PCS,D,C02,1,543,543,543
L68,15332,A15,C31,B29,PCS,C,C01,1,861,861,861
L80,17040,A15,C37,B24,PCS,D,C05,1,479,479,479
L89,14954,A14,C38,B25,PCS,D,C05,1,479,479,479
L11,11792,A17,C35,B21,PCS,C,C06,1,624,624,624
L93,13880,A12,C35,B28,PCS,C,C10,5,850,131,2086
L94,13261,A16,C40,B24,PCS,C,C05,1,628,628,628
L23,17293,A12,C33,B28,PCS,C,C03,1,950,950,950
L39,15169,A14,C35,B26,PCS,C,C04,1,217,217,217
L75,19915,A16,C39,B26,PCS,C,C09,2,449,429,878
L75,18224,A14,C30,B25,PCS,C,C01,2,518,103,621
L86,15116,A17,C40,B22,PCS,C,C10,1,153,153,153
L10,13381,A14,C33,B20,PCS,D,C10,2,571,110,681
L94,14600,A19,C36,B28,PCS,C,C05,1,539,539,539
L98,11633,A17,C33,B30,PCS,C,C04,1,593,593,593
L99,16843,A13,C40,B27,PCS,D,C01,1,3,3,3
L21,18155,A17,C32,B27,PCS,D,C01,1,576,576,576
L22,11222,A10,C30,B28,PCS,C,C08,2,199,75,274
L32,10020,A15,C33,B29,PCS,D,C09,3,772,150,1193
L43,14870,A13,C32,B21,PCS,D,C04,2,849,168,1017
L46,13403,A12,C35,B20,PCS,C,C01,2,920,658,1578
L55,17203,A11,C38,B22,PCS,C,C04,1,771,771,771
L58,16551,A20,C34,B20,PCS,C,C10,1,115,115,115
L72,16064,A14,C37,B20,PCS,D,C05,1,49,49,49
L78,15687,A17,C35,B24,PCS,C,C06,2,972,630,1602
L79,10670,A18,C39,B28,PCS,D,C07,2,581,497,1078
L88,13485,A12,C30,B26,PCS,D,C01,1,796,796,796
L94,14268,A13,C37,B25,PCS,C,C03,1,418,418,418
L25,13265,A15,C32,B27,PCS,D,C03,3,573,428,1492
L58,14928,A17,C36,B28,PCS,D,C10,1,806,806,806
L59,17764,A13,C35,B24,PCS,D,C03,1,507,507,507
L70,12473,A20,C35,B20,PCS,C,C10,2,583,267,850
L84,16447,A11,C40,B26,PCS,D,C05,1,427,427,427
L90,15197,A15,C30,B27,PCS,D,C04,3,796,205,1424
L10,10624,A17,C32,B21,PCS,D,C01,1,436,436,436
L24,16065,A12,C38,B22,PCS,D,C07,2,442,156,598
L25,10636,A20,C37,B29,PCS,D,C05,2,880,743,1623
L31,15117,A16,C38,B21,PCS,C,C04,1,313,313,313
L36,15654,A19,C40,B20,PCS,D,C02,2,693,157,850
L62,17508,A10,C36,B30,PCS,C,C08,1,863,863,863
L76,12350,A17,C34,B30,PCS,D,C05,1,530,530,530
L11,15207,A16,C32,B30,PCS,D,C02,2,486,90,576
L13,11384,A11,C38,B21,PCS,D,C09,1,451,451,451
L95,19596,A17,C40,B27,PCS,D,C09,3,804,249,1376
L53,17826,A13,C40,B21,PCS,D,C02,3,624,301,1397
L55,11123,A18,C31,B26,PCS,D,C01,1,706,706,706
L66,19698,A15,C34,B24,PCS,D,C06,1,606,606,606
L81,17000,A13,C40,B21,PCS,C,C06,1,386,386,386
L31,10332,A20,C38,B29,PCS,C,C08,2,854,715,1569
L34,10287,A12,C39,B26,PCS,D,C10,3,681,306,1385
L35,17768,A13,C31,B26,PCS,D,C04,1,208,208,208
L38,14337,A12,C39,B24,PCS,C,C05,1,617,617,617
L38,11091,A19,C37,B26,PCS,C,C02,2,780,251,1031
L48,12355,A13,C36,B27,PCS,C,C06,2,541,434,975
L69,18444,A18,C34,B21,PCS,C,C08,2,914,672,1586
L75,13140,A18,C40,B26,PCS,D,C03,1,760,760,760
L84,13676,A20,C33,B21,PCS,D,C07,3,618,301,1392
L49,11065,A12,C34,B24,PCS,C,C10,2,390,277,667
L54,17088,A11,C34,B23,PCS,D,C02,3,373,128,814
L71,13336,A16,C34,B29,PCS,D,C04,3,893,147,1257
L73,12906,A20,C34,B29,PCS,C,C01,2,646,240,886
L80,16635,A12,C37,B27,PCS,C,C03,1,995,995,995
L82,18772,A16,C31,B23,PCS,D,C02,1,77,77,77
L92,18490,A11,C31,B23,PCS,C,C10,1,118,118,118
L13,13237,A14,C40,B27,PCS,C,C04,1,820,820,820
L74,17660,A13,C31,B24,PCS,D,C08,2,966,249,1215
L83,19921,A12,C38,B29,PCS,C,C03,1,999,999,999
L11,10928,A11,C31,B29,PCS,D,C10,1,836,836,836
L31,13061,A18,C40,B20,PCS,D,C10,2,291,24,315
L38,18381,A13,C32,B26,PCS,C,C09,1,496,496,496
L47,18650,A15,C32,B29,PCS,C,C06,2,681,556,1237
L48,11429,A10,C30,B25,PCS,C,C01,1,568,568,568
