Date,Ledger,Account,PartNo,Project,Contact,Unit Code,Quantity,Unit Price,D/C,Currency,Exchange Rate,Original Amount,Base Amount
43050,L67,13078,A20,B30,C37,PCS,411,5.86,D,C09,1.199464,2408.46,2888.86
43050,L67,13078,A20,B30,C37,PCS,179,5.86,D,C09,1.199464,1048.94,1258.17
43050,L67,13078,A20,B30,C37,PCS,565,5.86,D,C09,1.199464,3310.9,3971.31
43050,L67,13078,A20,B30,C37,PCS,146,5.86,D,C09,1.199464,855.56,1026.21
43040,L67,13131,A12,B28,C35,PCS,928,2.42,C,C06,3.547054,2245.76,7965.83
43040,L67,13131,A12,B28,C35,PCS,427,2.42,C,C06,3.547054,1033.34,3665.31
43040,L67,13131,A12,B28,C35,PCS,512,2.42,C,C06,3.547054,1239.04,4394.94
43040,L67,13131,A12,B28,C35,PCS,854,2.42,C,C06,3.547054,2066.68,7330.63
43040,L67,13131,A12,B28,C35,PCS,300,2.42,C,C06,3.547054,726,2575.16
43040,L67,13131,A12,B28,C35,PCS,56,2.42,C,C06,3.547054,135.52,480.7
43040,L67,13131,A12,B28,C35,PCS,829,2.42,C,C06,3.547054,2006.18,7116.03
43040,L67,13131,A12,B28,C35,PCS,92,2.42,C,C06,3.547054,222.64,789.72
43040,L67,13131,A12,B28,C35,PCS,846,2.42,C,C06,3.547054,2047.32,7261.95
43040,L67,13131,A12,B28,C35,PCS,221,2.42,C,C06,3.547054,534.82,1897.04
43049,L67,13189,A15,B20,C35,PCS,96,6.72,C,C01,6.825646,645.12,4403.36
43049,L67,13189,A15,B20,C35,PCS,86,6.72,C,C01,6.825646,577.92,3944.68
43049,L67,13189,A15,B20,C35,PCS,464,6.72,C,C01,6.825646,3118.08,21282.91
43049,L67,13189,A15,B20,C35,PCS,721,6.72,C,C01,6.825646,4845.12,33071.07
43049,L67,13189,A15,B20,C35,PCS,864,6.72,C,C01,6.825646,5806.08,39630.25
43049,L67,13189,A15,B20,C35,PCS,807,6.72,C,C01,6.825646,5423.04,37015.75
43049,L67,13189,A15,B20,C35,PCS,508,6.72,C,C01,6.825646,3413.76,23301.12
43049,L67,13189,A15,B20,C35,PCS,712,6.72,C,C01,6.825646,4784.64,32658.26
43049,L67,13189,A15,B20,C35,PCS,681,6.72,C,C01,6.825646,4576.32,31236.34
43049,L67,13189,A15,B20,C35,PCS,637,6.72,C,C01,6.825646,4280.64,29218.13
43042,L67,13282,A16,B20,C38,PCS,44,9.94,D,C03,7.133317,437.36,3119.83
43042,L67,13282,A16,B20,C38,PCS,653,9.94,D,C03,7.133317,6490.82,46301.08
43042,L67,13282,A16,B20,C38,PCS,544,9.94,D,C03,7.133317,5407.36,38572.41
