Batch,Command,Start Time,Second,Command Setting,S Partition,E Partition,S Column,E Column,S Row,E Row,Error Message
0,Get_CSV_Partition_Address,20:33:49,0.059,"100-millionrows.csv",0,100,0,10,0,0,""
0,Read_CSV,20:33:49,0.251,"100-millionrows.csv",10,10,10,10,0,0,""
0,Filter,20:33:49,0.457,"Shop(S20..S50)Product(500..800)",10,10,10,10,10014997,1146440,""
0,Groupby,20:33:50,0.156,"Shop, Product => Count() Sum(Quantity) Sum(Base_Amount)",10,1,10,5,1146440,9331,""
1,Read_CSV,20:33:50,0.167,"100-millionrows.csv",10,10,10,10,0,0,""
1,Filter,20:33:50,0.385,"Shop(S20..S50)Product(500..800)",10,10,10,10,10015005,1146440,""
1,Groupby,20:33:51,0.17,"Shop, Product => Count() Sum(Quantity) Sum(Base_Amount)",10,1,10,5,1146440,9331,""
2,Read_CSV,20:33:51,0.176,"100-millionrows.csv",10,10,10,10,0,0,""
2,Filter,20:33:51,0.396,"Shop(S20..S50)Product(500..800)",10,10,10,10,10015000,1146440,""
2,Groupby,20:33:51,0.142,"Shop, Product => Count() Sum(Quantity) Sum(Base_Amount)",10,1,10,5,1146440,9331,""
3,Read_CSV,20:33:52,0.297,"100-millionrows.csv",10,10,10,10,0,0,""
3,Filter,20:33:52,0.397,"Shop(S20..S50)Product(500..800)",10,10,10,10,10015002,1146440,""
3,Groupby,20:33:52,0.135,"Shop, Product => Count() Sum(Quantity) Sum(Base_Amount)",10,1,10,5,1146440,9331,""
4,Read_CSV,20:33:52,0.176,"100-millionrows.csv",10,10,10,10,0,0,""
4,Filter,20:33:53,0.413,"Shop(S20..S50)Product(500..800)",10,10,10,10,10014996,1146440,""
4,Groupby,20:33:53,0.153,"Shop, Product => Count() Sum(Quantity) Sum(Base_Amount)",10,1,10,5,1146440,9331,""
5,Read_CSV,20:33:53,0.162,"100-millionrows.csv",10,10,10,10,0,0,""
5,Filter,20:33:53,0.429,"Shop(S20..S50)Product(500..800)",10,10,10,10,10015002,1146440,""
5,Groupby,20:33:54,0.17,"Shop, Product => Count() Sum(Quantity) Sum(Base_Amount)",10,1,10,5,1146440,9331,""
6,Read_CSV,20:33:54,0.198,"100-millionrows.csv",10,10,10,10,0,0,""
6,Filter,20:33:54,0.439,"Shop(S20..S50)Product(500..800)",10,10,10,10,10014999,1146440,""
6,Groupby,20:33:55,0.163,"Shop, Product => Count() Sum(Quantity) Sum(Base_Amount)",10,1,10,5,1146440,9331,""
7,Read_CSV,20:33:55,0.204,"100-millionrows.csv",10,10,10,10,0,0,""
7,Filter,20:33:55,0.435,"Shop(S20..S50)Product(500..800)",10,10,10,10,10014992,1149466,""
7,Groupby,20:33:55,0.173,"Shop, Product => Count() Sum(Quantity) Sum(Base_Amount)",10,1,10,5,1149466,9331,""
8,Read_CSV,20:33:55,0.212,"100-millionrows.csv",10,10,10,10,0,0,""
8,Filter,20:33:56,0.47,"Shop(S20..S50)Product(500..800)",10,10,10,10,10014999,1151475,""
8,Groupby,20:33:56,0.174,"Shop, Product => Count() Sum(Quantity) Sum(Base_Amount)",10,1,10,5,1151475,9331,""
9,Read_CSV,20:33:56,0.209,"100-millionrows.csv",10,10,10,10,0,0,""
9,Filter,20:33:57,0.445,"Shop(S20..S50)Product(500..800)",10,10,10,10,9865008,1138379,""
9,Groupby,20:33:57,0.163,"Shop, Product => Count() Sum(Quantity) Sum(Base_Amount)",10,1,10,5,1138379,9331,""
0,FinalGroupby,20:33:57,0.051,"Shop, Product => Sum(Count) Sum(Quantity) Sum(Base_Amount)",10,1,5,5,93310,9331,""
0,Write_CSV,20:33:57,0.074,"Outbox/Result-100-millionrows.csv",1,1,5,5,9331,9331,""
